File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF996MWJ	fastq	reads	ENCSR705HGT	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					1	1		single-ended				591216480	Michael Snyder, Stanford	3987c43c487558b8920afee429b62517	https://www.encodeproject.org/files/ENCFF996MWJ/@@download/ENCFF996MWJ.fastq.gz		
ENCFF907HUT	bam	alignments	ENCSR705HGT	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					1	1						540844272	Michael Snyder, Stanford	fd6570e31b799f7666da97f155a102ab	https://www.encodeproject.org/files/ENCFF907HUT/@@download/ENCFF907HUT.bam	mm9	
ENCFF286XMC	bam	alignments	ENCSR705HGT	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					2	1						853756212	Michael Snyder, Stanford	15fe55a6f5bdef7143d2c23ffd5816be	https://www.encodeproject.org/files/ENCFF286XMC/@@download/ENCFF286XMC.bam	mm9	
ENCFF316CSW	bed narrowPeak	peaks	ENCSR705HGT	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE												336665	Michael Snyder, Stanford	2043b4b88323b148c288ac0aca3df2ec	https://www.encodeproject.org/files/ENCFF316CSW/@@download/ENCFF316CSW.bed.gz	mm9	
ENCFF550MZG	fastq	reads	ENCSR705HGT	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					2	1		single-ended				854969794	Michael Snyder, Stanford	d464f0e8c09eb281eb356342fcb29920	https://www.encodeproject.org/files/ENCFF550MZG/@@download/ENCFF550MZG.fastq.gz		
ENCFF447VDV	bigBed narrowPeak	peaks	ENCSR705HGT	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE											ENCFF316CSW	710343	ENCODE Consortium	c762a64107f47f28eac4bb7385e8c02c	https://www.encodeproject.org/files/ENCFF447VDV/@@download/ENCFF447VDV.bigBed	mm9	
ENCFF880XUQ	fastq	reads	ENCSR349JDH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					1	1		single-ended				775223496	Michael Snyder, Stanford	8bd913addcb569e114dfeff805d5e49f	https://www.encodeproject.org/files/ENCFF880XUQ/@@download/ENCFF880XUQ.fastq.gz		
ENCFF432YTR	fastq	reads	ENCSR349JDH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					2	1		single-ended				802732122	Michael Snyder, Stanford	c2ea64b7a23d2d25fab9e701764853ba	https://www.encodeproject.org/files/ENCFF432YTR/@@download/ENCFF432YTR.fastq.gz		
ENCFF230ACF	bam	alignments	ENCSR349JDH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					1	1						715120655	Michael Snyder, Stanford	21b1af58bc30e0586c9b25700725e311	https://www.encodeproject.org/files/ENCFF230ACF/@@download/ENCFF230ACF.bam	mm9	
ENCFF042EWQ	bam	alignments	ENCSR349JDH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					2	1						771746957	Michael Snyder, Stanford	66062b7fb25a7f58dee82d823678080e	https://www.encodeproject.org/files/ENCFF042EWQ/@@download/ENCFF042EWQ.bam	mm9	
