File accession	Output type	Biosample term name	Biosample term id	Experiment target	Biosample sex	Assembly	File download URL	md5sum	Paired with	Technical replicate	Biological replicate(s)
ENCFF000YWJ	signal	K562	EFO:0002067	POLR2A-human	female	hg19	https://www.encodeproject.org/files/ENCFF000YWJ/@@download/ENCFF000YWJ.bigWig	8bb641fe367ca0f9275e56c0dce9dcf3	NA	NA	NA
ENCFF001VOF	peaks	K562	EFO:0002067	POLR2A-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VOF/@@download/ENCFF001VOF.bed.gz	0e1e4bcfbc9143d6da9027890b928bf0	NA	NA	NA
ENCFF000WAQ	signal	GM12878	EFO:0002784	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF000WAQ/@@download/ENCFF000WAQ.bigWig	c4d8e955e151485865a1ed1f5ac8b1cc	NA	NA	NA
ENCFF001VEX	peaks	GM12878	EFO:0002784	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VEX/@@download/ENCFF001VEX.bed.gz	bc6ddcbb18190cff6f65d8894d6a87ab	NA	NA	NA
ENCFF000YWS	signal	K562	EFO:0002067	POLR2A-human	female	hg19	https://www.encodeproject.org/files/ENCFF000YWS/@@download/ENCFF000YWS.bigWig	827b59c5dfc3aaf3ad912b89060748e8	NA	NA	NA
ENCFF001VOH	peaks	K562	EFO:0002067	POLR2A-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VOH/@@download/ENCFF001VOH.bed.gz	e878710ad764502ef990eeff2524a04a	NA	NA	NA
ENCFF000WBA	signal	GM12878	EFO:0002784	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF000WBA/@@download/ENCFF000WBA.bigWig	99d776eadfe37b45719d76a84c3b6c12	NA	NA	NA
ENCFF001VEY	peaks	GM12878	EFO:0002784	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VEY/@@download/ENCFF001VEY.bed.gz	b47d8a6898a2ae6b6a627b61d201b056	NA	NA	NA
ENCFF001FMB	raw signal	HepG2	EFO:0001187	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001FMB/@@download/ENCFF001FMB.bigWig	b450f257db43282c44953dc2ef95062c	NA	1	1
ENCFF001FMD	raw signal	HepG2	EFO:0001187	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001FMD/@@download/ENCFF001FMD.bigWig	b475ddf154626f1f971594ccf8584a1f	NA	1	2
ENCFF001XDD	peaks	HepG2	EFO:0001187	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XDD/@@download/ENCFF001XDD.bed.gz	ec7b5a5a8ca1587fafb01d3fb5c94910	NA	1	1
ENCFF001XDE	peaks	HepG2	EFO:0001187	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XDE/@@download/ENCFF001XDE.bed.gz	273db3fe5a43e5de25c047ae0a79337b	NA	1	2
ENCFF001HNQ	raw signal	HepG2	EFO:0001187	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001HNQ/@@download/ENCFF001HNQ.bigWig	d097a28b5ea0cc5cf8f38ecdc357a4c9	NA	1	1
ENCFF001HNR	raw signal	HepG2	EFO:0001187	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001HNR/@@download/ENCFF001HNR.bigWig	b589e6d47ba48f5a5bc7c4a5e25f7e69	NA	1	2
ENCFF001XRB	peaks	HepG2	EFO:0001187	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XRB/@@download/ENCFF001XRB.bed.gz	9a0725360d6dbba1db63ea1c9da49d36	NA	1	1
ENCFF001XRC	peaks	HepG2	EFO:0001187	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XRC/@@download/ENCFF001XRC.bed.gz	181f9e13579608834dd3fa3acf3bdff8	NA	1	2
ENCFF001HNV	raw signal	HepG2	EFO:0001187	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF001HNV/@@download/ENCFF001HNV.bigWig	9f4c7465c8c117390afb748fd91e082e	NA	1	1
ENCFF001FWL	raw signal	K562	EFO:0002067	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001FWL/@@download/ENCFF001FWL.bigWig	630eecea42e9f9fb37962465149a840a	NA	1	1
ENCFF001FWN	raw signal	K562	EFO:0002067	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001FWN/@@download/ENCFF001FWN.bigWig	c956319c66e7dbb8cce557f3b7bbfac5	NA	1	2
ENCFF001XGQ	peaks	K562	EFO:0002067	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XGQ/@@download/ENCFF001XGQ.bed.gz	93859de4af3813cd4d13749dd60121e2	NA	1	1
ENCFF001XGR	peaks	K562	EFO:0002067	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XGR/@@download/ENCFF001XGR.bed.gz	c756b072eb8d34fe2c52bba15f9dc5d5	NA	1	2
ENCFF001FWA	raw signal	K562	EFO:0002067	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001FWA/@@download/ENCFF001FWA.bigWig	ab8d8a56d11436f926ac65e4bba570af	NA	1	1
ENCFF001FWD	raw signal	K562	EFO:0002067	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001FWD/@@download/ENCFF001FWD.bigWig	3b8ddf2ac52d1e8ca9b47f75a870ae0b	NA	1	2
